epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step,val_accuracy_epoch,val_accuracy_step,val_loss_epoch,val_loss_step
0,9,,0.125,,13.875673294067383,,,,
0,19,,0.0625,,16.59347915649414,,,,
0,29,,0.0625,,5.548076629638672,,,,
0,39,,0.0625,,6.497590065002441,,,,
0,49,,0.0625,,3.8618879318237305,,,,
0,59,,0.0625,,4.223047256469727,,,,
0,69,,0.125,,2.7479069232940674,,,,
,0,,,,,,0.0,,2.7725887298583984
,1,,,,,,0.125,,2.7725887298583984
,2,,,,,,0.125,,2.7725882530212402
,3,,,,,,0.125,,2.7725882530212402
,4,,,,,,0.0625,,2.7725887298583984
,5,,,,,,0.1875,,2.7725884914398193
,6,,,,,,0.1875,,2.7725882530212402
,7,,,,,,0.0,,2.7725887298583984
,8,,,,,,0.0625,,2.7725892066955566
,9,,,,,,0.07692307978868484,,2.5649490356445312
0,76,,,,,0.09554140269756317,,2.7553956508636475,
0,76,0.07113654911518097,,9.49342155456543,,,,,
1,79,,0.0,,2.904735565185547,,,,
1,89,,0.0,,3.233360767364502,,,,
1,99,,0.0625,,3.450411319732666,,,,
1,109,,0.125,,3.2275266647338867,,,,
1,119,,0.0625,,3.467003345489502,,,,
1,129,,0.0,,3.162203550338745,,,,
1,139,,0.0,,2.899860382080078,,,,
1,149,,0.0625,,2.7884674072265625,,,,
,10,,,,,,0.0625,,2.7725915908813477
,11,,,,,,0.0625,,2.772595167160034
,12,,,,,,0.0625,,2.772587776184082
,13,,,,,,0.0625,,2.772585868835449
,14,,,,,,0.0625,,2.7725908756256104
,15,,,,,,0.0,,2.772590160369873
,16,,,,,,0.0625,,2.7725870609283447
,17,,,,,,0.125,,2.772587299346924
,18,,,,,,0.0625,,2.772587299346924
,19,,,,,,0.07692307978868484,,2.5649490356445312
1,153,,,,,0.06369426846504211,,2.7553958892822266,
1,153,0.07031888514757156,,3.0422258377075195,,,,,
2,159,,0.0625,,2.8101611137390137,,,,
2,169,,0.0625,,3.2907676696777344,,,,
2,179,,0.0,,2.8056745529174805,,,,
2,189,,0.0625,,2.793753147125244,,,,
2,199,,0.0,,2.774132251739502,,,,
2,209,,0.0625,,3.004424810409546,,,,
2,219,,0.0625,,2.8080058097839355,,,,
2,229,,0.125,,2.7374162673950195,,,,
,20,,,,,,0.0625,,2.772590398788452
,21,,,,,,0.0625,,2.772585391998291
,22,,,,,,0.0625,,2.7725844383239746
,23,,,,,,0.0,,2.772587776184082
,24,,,,,,0.0625,,2.772583484649658
,25,,,,,,0.0625,,2.7725863456726074
,26,,,,,,0.0625,,2.7725882530212402
,27,,,,,,0.0625,,2.772587299346924
,28,,,,,,0.0625,,2.772585868835449
,29,,,,,,0.07692307978868484,,2.564948558807373
2,230,,,,,0.0573248416185379,,2.7553937435150146,
2,230,0.06704824417829514,,2.8227550983428955,,,,,
3,239,,0.0625,,2.760467529296875,,,,
3,249,,0.0625,,2.7964494228363037,,,,
3,259,,0.0625,,2.799138069152832,,,,
